LAMMPS (23 Jun 2022 - Update 2)
# 3d Lennard-Jones melt

units		lj
atom_style	atomic
boundary	p p p

lattice	sc 0.5
Lattice spacing in x,y,z = 1.259921 1.259921 1.259921
region		box block 0 20 0 20 0 20
create_box	1 box
Created orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  1 by 2 by 2 MPI processor grid
create_atoms	1 box
Created 8000 atoms
  using lattice units in orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  create_atoms CPU = 0.001 seconds
mass		1 1.0
#read_data	Configuration-PBC.int

velocity        all create 1.5 22233 mom yes rot yes dist gaussian

pair_style	lj/cut 2.5
pair_coeff	1 1 1.0 1.0 2.5

neighbor	0.3 bin
neigh_modify	every 20 delay 0 check no

thermo_style    custom step temp press pe ke etotal vol
thermo          1000
thermo_modify   flush yes

fix		1 all nve

#dump            1 all custom 1000 Data.dump id type xu yu zu
#dump_modify     1 flush yes

#dump		2 all image 25 image.*.jpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	2 pad 3

#dump		3 all movie 25 movie.mpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	3 pad 3

run		1000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.708 | 2.708 | 2.708 Mbytes
   Step          Temp          Press          PotEng         KinEng         TotEng         Volume    
         0   1.5           -1.5986234     -3.1233389      2.2497187     -0.87362016     16000        
      1000   1.4333141      0.59565817    -3.0815101      2.1497023     -0.93180774     16000        
      2000   1.4310023      0.55282555    -3.0815542      2.1462351     -0.93531914     16000        
      3000   1.4334836      0.5485304     -3.0904236      2.1499566     -0.94046704     16000        
      4000   1.4274319      0.56355674    -3.0857335      2.1408802     -0.94485333     16000        
      5000   1.4165605      0.56921345    -3.0743799      2.1245751     -0.9498048      16000        
      6000   1.4217975      0.57721585    -3.0868471      2.1324296     -0.95441751     16000        
      7000   1.4124555      0.55930376    -3.0768626      2.1184185     -0.95844408     16000        
      8000   1.4141535      0.5424422     -3.0839069      2.120965      -0.96294186     16000        
      9000   1.4176792      0.57238303    -3.0937054      2.126253      -0.96745248     16000        
     10000   1.4096915      0.60370005    -3.0869033      2.1142729     -0.97263046     16000        
     11000   1.4020749      0.59410337    -3.079709       2.1028494     -0.97685956     16000        
     12000   1.40429        0.56039072    -3.0869911      2.1061718     -0.98081932     16000        
     13000   1.397753       0.57925298    -3.0822948      2.0963675     -0.98592738     16000        
     14000   1.3945764      0.55838702    -3.0809333      2.0916032     -0.98933013     16000        
     15000   1.4058577      0.53872444    -3.1026054      2.1085229     -0.99408243     16000        
     16000   1.3960846      0.5383489     -3.0911769      2.0938652     -0.99731176     16000        
     17000   1.3970124      0.54988512    -3.0977224      2.0952566     -1.0024658      16000        
     18000   1.383104       0.60158519    -3.08087        2.0743967     -1.0064733      16000        
     19000   1.3917738      0.55302454    -3.0978702      2.0873997     -1.0104705      16000        
     20000   1.3994767      0.54887397    -3.1139569      2.0989527     -1.0150042      16000        
     21000   1.3903398      0.56033054    -3.1042892      2.085249      -1.0190403      16000        
     22000   1.3794576      0.5547887     -3.0918348      2.0689278     -1.022907       16000        
     23000   1.3712914      0.52632172    -3.0836239      2.0566799     -1.0269439      16000        
     24000   1.382834       0.55116037    -3.1051343      2.0739918     -1.0311425      16000        
     25000   1.3793192      0.49740003    -3.1036869      2.0687202     -1.0349668      16000        
     26000   1.3830993      0.49743877    -3.1133418      2.0743896     -1.0389522      16000        
     27000   1.3665394      0.49654428    -3.0920109      2.0495528     -1.0424581      16000        
     28000   1.3641349      0.54110539    -3.0931902      2.0459465     -1.0472436      16000        
     29000   1.3707808      0.52202682    -3.1063298      2.0559141     -1.0504157      16000        
     30000   1.3677817      0.53909176    -3.1057568      2.0514161     -1.0543407      16000        
     31000   1.3779983      0.47685844    -3.125148       2.0667391     -1.0584089      16000        
     32000   1.3696379      0.484617      -3.1173377      2.0542001     -1.0631376      16000        
     33000   1.3579751      0.46138309    -3.1027886      2.0367081     -1.0660806      16000        
     34000   1.3490483      0.47499119    -3.0924823      2.0233194     -1.0691628      16000        
     35000   1.3619719      0.51827762    -3.116857       2.0427025     -1.0741544      16000        
     36000   1.3539484      0.49354619    -3.1084432      2.0306688     -1.0777744      16000        
     37000   1.3522759      0.42814073    -3.1094717      2.0281603     -1.0813114      16000        
     38000   1.3466444      0.54032261    -3.1052619      2.0197141     -1.0855478      16000        
     39000   1.3514553      0.49851581    -3.1160752      2.0269296     -1.0891456      16000        
     40000   1.3455239      0.46462192    -3.1107376      2.0180336     -1.092704       16000        
     41000   1.3563248      0.45965042    -3.1309215      2.034233      -1.0966885      16000        
     42000   1.3453022      0.45969256    -3.1172823      2.0177011     -1.0995812      16000        
     43000   1.3366139      0.45817138    -3.1081754      2.0046702     -1.1035052      16000        
     44000   1.3310411      0.48479024    -3.1033883      1.9963121     -1.1070761      16000        
     45000   1.3446343      0.43312803    -3.1273557      2.0166994     -1.1106563      16000        
     46000   1.3258179      0.5137021     -3.1026157      1.9884783     -1.1141373      16000        
     47000   1.3391815      0.46457356    -3.1263784      2.0085211     -1.1178572      16000        
     48000   1.3450765      0.42584161    -3.1394362      2.0173625     -1.1220736      16000        
     49000   1.3295212      0.4681733     -3.119128       1.9940324     -1.1250955      16000        
     50000   1.3372626      0.45302342    -3.1345397      2.0056432     -1.1288965      16000        
     51000   1.3342477      0.45450488    -3.1335549      2.0011213     -1.1324335      16000        
     52000   1.312788       0.44635263    -3.1042593      1.9689358     -1.1353235      16000        
     53000   1.3167176      0.48207501    -3.1137979      1.9748296     -1.1389683      16000        
     54000   1.3165698      0.45088931    -3.1171593      1.9746078     -1.1425516      16000        
     55000   1.3301583      0.45556842    -3.1409433      1.994988      -1.1459553      16000        
     56000   1.314076       0.4816295     -3.1203497      1.9708675     -1.1494822      16000        
     57000   1.3152082      0.41725308    -3.1255873      1.9725657     -1.1530216      16000        
     58000   1.3238876      0.43175396    -3.1420731      1.9855832     -1.1564899      16000        
     59000   1.3117173      0.40768387    -3.1263969      1.96733       -1.1590669      16000        
     60000   1.3148875      0.42768299    -3.1356849      1.9720847     -1.1636002      16000        
     61000   1.3080532      0.41029282    -3.1280044      1.9618346     -1.1661698      16000        
     62000   1.3022145      0.41076812    -3.122441       1.9530776     -1.1693633      16000        
     63000   1.3161975      0.40168738    -3.1474021      1.9740495     -1.1733526      16000        
     64000   1.3132433      0.4032956     -3.1456796      1.9696187     -1.1760609      16000        
     65000   1.3109139      0.40402702    -3.1462058      1.9661251     -1.1800807      16000        
